led,Vmin,lambda,sigma
led2-b1,2.5211296180185574,465.75,10.93077156970681
led1-b1,2.9169428504227244,398.94,6.777587966298383
led3-b1,1.794317964307627,561.33,11.104882538765839
led4-b1,1.6019739764658227,626.16,17.101094448799255
led5-b1,1.8040206836789283,629.55,6.773341357296923
led6-b1,1.7532773847321925,686.11,35.51439107904356
led1-b2,2.774082533656803,423.44,7.90718596068146
led2-b2,2.7206743745629165,453.69,9.988024371387121
led3-b2,1.8394935308765712,562.76,11.699407798967444
led4-b2,1.7565125482993957,587.17,14.778199325011562
led5-b2,1.8395218040539447,690.59,35.56959699606224
