lambda_nm,lambda_err_nm,h,h_err
465.75,10.93077156970681,6.2753467603133675e-34,1.4727725594779403e-35
398.94,6.777587966298383,6.219066411356945e-34,1.0565566168151426e-35
561.33,11.10488253876584,5.382788916636643e-34,1.064885871950912e-35
626.16,17.101094448799255,5.360810659129768e-34,1.464094311420531e-35
629.55,6.773341357296923,6.069619015169333e-34,6.530315542606985e-36
686.11,35.51439107904356,6.42886151892822e-34,3.327704044194529e-35
423.44,7.90718596068146,6.277705666474769e-34,1.1722790976582218e-35
453.69,9.98802437138712,6.596680706374705e-34,1.4522649312422525e-35
562.76,11.699407798967444,5.532369477433665e-34,1.1501429847724939e-35
587.17,14.778199325011562,5.511944116321495e-34,1.3872747044182054e-35
690.59,35.56959699606224,6.789142370396234e-34,3.496822399164261e-35
