indice,melhor_d,y1_val,melhor_y2,melhor_voltage,diferença,melhor_voltage_kV
y1[0],4.650e-11,1.795e-11,1.806e-11,4.600e+03,1.089e-13,4.600e+00
y1[1],4.650e-11,1.789e-11,1.806e-11,4.600e+03,1.709e-13,4.600e+00
y1[2],5.910e-11,2.112e-11,2.100e-11,3.400e+03,1.142e-13,3.400e+00
y1[3],5.910e-11,2.068e-11,2.041e-11,3.600e+03,2.726e-13,3.600e+00
y1[4],5.910e-11,1.986e-11,1.987e-11,3.800e+03,1.039e-14,3.800e+00
y1[5],5.910e-11,1.931e-11,1.936e-11,4.000e+03,5.892e-14,4.000e+00
y1[6],5.910e-11,1.872e-11,1.890e-11,4.200e+03,1.832e-13,4.200e+00
y1[7],5.910e-11,1.773e-11,1.768e-11,4.800e+03,5.233e-14,4.800e+00
y1[8],5.910e-11,1.726e-11,1.732e-11,5.000e+03,6.331e-14,5.000e+00
y1[9],5.910e-11,1.738e-11,1.732e-11,5.000e+03,5.489e-14,5.000e+00
y1[10],8.050e-11,2.265e-11,2.236e-11,3.000e+03,2.867e-13,3.000e+00
y1[11],8.050e-11,2.216e-11,2.236e-11,3.000e+03,1.963e-13,3.000e+00
y1[12],8.050e-11,2.147e-11,2.165e-11,3.200e+03,1.840e-13,3.200e+00
y1[13],8.050e-11,2.109e-11,2.100e-11,3.400e+03,8.680e-14,3.400e+00
